n_bins,strategy,min_freq,mse,compression_ratio
20,quantile,5,0.010076570799546282,6.47282861124013
20,quantile,50,0.010076570799546282,4.114555653971066
20,quantile,200,0.010076570799546282,3.077058953411349
20,gaussian,5,0.006358165548114674,7.416711016498137
20,gaussian,50,0.006358165548114674,4.68436974789916
20,gaussian,200,0.006358165548114674,3.682875264270613
20,uniform_fixed,5,0.020812633127624713,18.433862433862434
20,uniform_fixed,50,0.020812633127624713,12.203152364273205
20,uniform_fixed,200,0.020812633127624713,9.480272108843538
50,quantile,5,0.0009842902285507986,3.5415501905972047
50,quantile,50,0.0009842902285507986,2.3176451022783966
50,quantile,200,0.0009842902285507986,1.6788338754366943
50,gaussian,5,0.00047985507560697246,3.6955714664545214
50,gaussian,50,0.00047985507560697246,2.4207052284175785
50,gaussian,200,0.00047985507560697246,1.8214612468958307
50,uniform_fixed,5,0.003360001550494372,8.018411967779056
50,uniform_fixed,50,0.003360001550494372,5.254901960784314
50,uniform_fixed,200,0.003360001550494372,4.01498127340824
100,quantile,5,0.000227352618117642,2.3184162368990187
100,quantile,50,0.000227352618117642,1.593960882992108
100,quantile,200,0.000227352618117642,1.1638550192082846
100,gaussian,5,0.0001248913706268103,2.4444834239607087
100,gaussian,50,0.0001248913706268103,1.6693818878773359
100,gaussian,200,0.0001248913706268103,1.259466787166742
100,uniform_fixed,5,0.0008326313190305633,4.91916696081892
100,uniform_fixed,50,0.0008326313190305633,3.124663677130045
100,uniform_fixed,200,0.0008326313190305633,2.408572416176979
40,uniform_fixed,2,0.005137768534440802,11.404255319148936
40,uniform_fixed,3,0.005137768534440802,10.786377708978328
40,uniform_fixed,5,0.005137768534440802,10.04758471521269
40,uniform_fixed,6,0.005137768534440802,9.793394237526353
40,uniform_fixed,7,0.005137768534440802,9.460964019008825
45,uniform_fixed,2,0.004216796673418467,10.292466765140325
45,uniform_fixed,3,0.004216796673418467,9.731843575418994
45,uniform_fixed,5,0.004216796673418467,8.899106002554278
45,uniform_fixed,6,0.004216796673418467,8.613102595797281
45,uniform_fixed,7,0.004216796673418467,8.415458937198068
50,uniform_fixed,2,0.003360001550494372,9.138360655737705
50,uniform_fixed,3,0.003360001550494372,8.549693251533743
50,uniform_fixed,6,0.003360001550494372,7.720775623268698
50,uniform_fixed,7,0.003360001550494372,7.573913043478261
55,uniform_fixed,2,0.002783585521190253,8.90479233226837
55,uniform_fixed,3,0.002783585521190253,8.275534441805226
55,uniform_fixed,5,0.002783585521190253,7.508620689655173
55,uniform_fixed,6,0.002783585521190253,7.30398322851153
55,uniform_fixed,7,0.002783585521190253,7.150333504361211
60,uniform_fixed,2,0.0022945155330942246,8.265717674970343
60,uniform_fixed,3,0.0022945155330942246,7.807282913165266
60,uniform_fixed,5,0.0022945155330942246,7.15400410677618
60,uniform_fixed,6,0.0022945155330942246,6.895596239485403
60,uniform_fixed,7,0.0022945155330942246,6.690350456072972
