bins,strategy,max_depth,perplexity,entropy,compression,vocab_size
10,uniform,128,9.209115545480344,3.203062604805033,10.050483196307514,70
20,uniform,32,10.07791122228812,3.333124747463768,5.818789144050104,120
30,uniform,32,9.963659613564506,3.3166757359293513,4.270392841821414,155
50,uniform,16,9.88447542224647,3.3051644028988036,2.9566767089574406,207
100,uniform,8,11.041154044462465,3.464819068381047,2.0027016928692554,302
200,uniform,4,12.746374820563279,3.6720150853395044,1.4652199512154092,392
500,uniform,4,16.14053846197218,4.012616803828884,1.1324741178956264,617
